point_id,image_name,sigma_pixels
0,143090.jpg,0.0
1,143090.jpg,5.0
2,143090.jpg,15.0
3,143090.jpg,25.0
4,143090.jpg,50.0
5,143090.jpg,70.0
6,38082.jpg,0.0
7,38082.jpg,5.0
8,38082.jpg,15.0
9,38082.jpg,25.0
10,38082.jpg,50.0
11,38082.jpg,70.0
12,87046.jpg,0.0
13,87046.jpg,5.0
14,87046.jpg,15.0
15,87046.jpg,25.0
16,87046.jpg,50.0
17,87046.jpg,70.0
18,108082.jpg,0.0
19,108082.jpg,5.0
20,108082.jpg,15.0
21,108082.jpg,25.0
22,108082.jpg,50.0
23,108082.jpg,70.0
24,175043.jpg,0.0
25,175043.jpg,5.0
26,175043.jpg,15.0
27,175043.jpg,25.0
28,175043.jpg,50.0
29,175043.jpg,70.0
30,134035.jpg,0.0
31,134035.jpg,5.0
32,134035.jpg,15.0
33,134035.jpg,25.0
34,134035.jpg,50.0
35,134035.jpg,70.0
36,304034.jpg,0.0
37,304034.jpg,5.0
38,304034.jpg,15.0
39,304034.jpg,25.0
40,304034.jpg,50.0
41,304034.jpg,70.0
42,295087.jpg,0.0
43,295087.jpg,5.0
44,295087.jpg,15.0
45,295087.jpg,25.0
46,295087.jpg,50.0
47,295087.jpg,70.0
48,299086.jpg,0.0
49,299086.jpg,5.0
50,299086.jpg,15.0
51,299086.jpg,25.0
52,299086.jpg,50.0
53,299086.jpg,70.0
54,58060.jpg,0.0
55,58060.jpg,5.0
56,58060.jpg,15.0
57,58060.jpg,25.0
58,58060.jpg,50.0
59,58060.jpg,70.0
60,24077.jpg,0.0
61,24077.jpg,5.0
62,24077.jpg,15.0
63,24077.jpg,25.0
64,24077.jpg,50.0
65,24077.jpg,70.0
66,16077.jpg,0.0
67,16077.jpg,5.0
68,16077.jpg,15.0
69,16077.jpg,25.0
70,16077.jpg,50.0
71,16077.jpg,70.0
72,123074.jpg,0.0
73,123074.jpg,5.0
74,123074.jpg,15.0
75,123074.jpg,25.0
76,123074.jpg,50.0
77,123074.jpg,70.0
78,302008.jpg,0.0
79,302008.jpg,5.0
80,302008.jpg,15.0
81,302008.jpg,25.0
82,302008.jpg,50.0
83,302008.jpg,70.0
84,103070.jpg,0.0
85,103070.jpg,5.0
86,103070.jpg,15.0
87,103070.jpg,25.0
88,103070.jpg,50.0
89,103070.jpg,70.0
90,241004.jpg,0.0
91,241004.jpg,5.0
92,241004.jpg,15.0
93,241004.jpg,25.0
94,241004.jpg,50.0
95,241004.jpg,70.0
96,285079.jpg,0.0
97,285079.jpg,5.0
98,285079.jpg,15.0
99,285079.jpg,25.0
100,285079.jpg,50.0
101,285079.jpg,70.0
102,42012.jpg,0.0
103,42012.jpg,5.0
104,42012.jpg,15.0
105,42012.jpg,25.0
106,42012.jpg,50.0
107,42012.jpg,70.0
108,101085.jpg,0.0
109,101085.jpg,5.0
110,101085.jpg,15.0
111,101085.jpg,25.0
112,101085.jpg,50.0
113,101085.jpg,70.0
114,85048.jpg,0.0
115,85048.jpg,5.0
116,85048.jpg,15.0
117,85048.jpg,25.0
118,85048.jpg,50.0
119,85048.jpg,70.0
120,189080.jpg,0.0
121,189080.jpg,5.0
122,189080.jpg,15.0
123,189080.jpg,25.0
124,189080.jpg,50.0
125,189080.jpg,70.0
126,167083.jpg,0.0
127,167083.jpg,5.0
128,167083.jpg,15.0
129,167083.jpg,25.0
130,167083.jpg,50.0
131,167083.jpg,70.0
132,41033.jpg,0.0
133,41033.jpg,5.0
134,41033.jpg,15.0
135,41033.jpg,25.0
136,41033.jpg,50.0
137,41033.jpg,70.0
138,126007.jpg,0.0
139,126007.jpg,5.0
140,126007.jpg,15.0
141,126007.jpg,25.0
142,126007.jpg,50.0
143,126007.jpg,70.0
144,21077.jpg,0.0
145,21077.jpg,5.0
146,21077.jpg,15.0
147,21077.jpg,25.0
148,21077.jpg,50.0
149,21077.jpg,70.0
